review_text,prediction,targets
How to restore my pro version?,2,0
"Wow... A To Do list app without the option to make your tasks recurring. I won't lie, I am absolutely baffled that this is omitted. Maybe it's in the web version, or the iOS version, but I'll never know... You tick a date in the calendar and... Where is the tick box for 'repeat every xxx'? Maybe it's a premium feature, I guess I'll never know that either...",0,0
"I got this thinking I could use it as a gear 2 watch face. It's a cool idea 
but would be much better if I could use it on my gear 2.",1,0
This is one of the better Habit tracker app Ive tried. A couple of them I deleted after a few days just because they were So Basic yet had the Audacity to charge for a Premium Service. Habitica seems to be much more realistic and actually has a more detailed U.I for setting yourself different kinds of targets/habits. But I would like to give this app 5* once they link this app to your clock and calendar apps (or build in) & add more Notification controls. Looking forwards to updates....TBC,1,1
Reminder notification not on time for about an hour so it is inconvenient,0,0
"i want to love this app but lately after once i open this app, then the second time i want to open it, it just doesnt open i dont know why, so i need to keep uninstall and reinstall back and it annoyed me",0,0
"I love Habitica and I like the UI of the updated app, but I find it frustrating that the app doesn't show all the content that the website does. Normally this is just a small annoyance--but now, after paying for a Group plan for my family, I'm discovering that my kids can't access the group tasks list via the app! Which makes the entire thing a waste of money since the whole point was to be able to create tasks for family chores. Please tell me a fix is in the works!",1,1
It is really good and dies not have any ads also is really good for when tidying up,2,2
Infested with ads now. Downloaded to specifically view one calendar and set it so but it automatically syncs my Samsung and gmail calendars automatically every time I open it.,0,0
The sync feature doesn't work.,1,1
Loving how this is organized.,2,2
"I have been wanting to try out this app for a while. I registered, and everything is going great until i get to the character maker screen. i am unable to see my charcter and the customization options. Will send photos if needed. Will change rating once this is fixed.",0,0
The widget has been broken for the last couple of weeks since an update. Please fix it.,0,0
I remember the days when you bought an app and owned it.. Now every developer wants to lock you into a lifetime subscription process where they can charge you for eternity. I simply refuse to rent my own notepad.,0,0
Great apk,2,2
"smooth interface, but i didnt see where i can set a specific notification per schedule on my calender. it has one sound for all notifications in the calender.",1,1
What a genius game,2,2
"I like this app, but its useless. If i go on a different app, it just gives me a warning and carries on. Would be better if there was some sort of consequence for using other apps.",0,0
"Absolutely love this app and have been using it for months. Different lists in different screens via the widget. Unfortunately the widgets have become unresponsive and now I'm looking for a new app. Will this be fixed ? Using Huawei p20 pro mate for reference Edit: I have reinstalled the app, taken the app off battery saver mode. When I reinstalled it is still the same, clicking on the widget does nothing, can't add tasks at all!",1,1
